Rank,Name,Industry,Revenue (USD millions),Revenue growth (%),Employees,Headquarters
1,Walmart,Retail,0.0,0.0,0.0,"Bentonville, Arkansas"
2,Amazon,Retail and Cloud Computing,513983.0,9.4,1540000.0,"Seattle, Washington"
3,Exxon Mobil,Petroleum industry,413680.0,0.0,62000.0,"Spring, Texas"
4,Apple,Electronics industry,394328.0,7.8,164000.0,"Cupertino, California"
6,CVS Health,Healthcare,322467.0,10.4,259500.0,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,302089.0,9.4,383000.0,"Omaha, Nebraska"
8,Alphabet,Technology,282836.0,9.8,156000.0,"Mountain View, California"
9,McKesson Corporation,Health,276711.0,4.8,48500.0,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,246252.0,51.6,43846.0,"San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,238587.0,11.5,41500.0,"Chesterbrook, Pennsylvania"
12,Costco,Retail,226954.0,15.8,304000.0,"Issaquah, Washington"
13,Microsoft,Technology,198270.0,18.0,221000.0,"Redmond, Washington"
14,Cardinal Health,Healthcare,181364.0,11.6,46035.0,"Dublin, Ohio"
15,Cigna,Health Insurance,180516.0,3.7,70231.0,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,180012.0,27.6,17800.0,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,175702.0,53.0,13000.0,"Houston, Texas"
18,Valero Energy,Petroleum industry,171189.0,58.0,9743.0,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,158057.0,15.9,173000.0,"Dearborn, Michigan"
20,The Home Depot,Retail,157403.0,4.1,471600.0,"Atlanta, Georgia"
21,General Motors,Automotive,156735.0,23.4,167000.0,"Detroit, Michigan"
22,Elevance Health,Healthcare,156595.0,13.0,102200.0,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,154792.0,21.7,293723.0,"New York City, New York"
24,Kroger,Retail,148258.0,7.5,430000.0,"Cincinnati, Ohio"
25,Centene,Healthcare,144547.0,14.7,74300.0,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,136835.0,2.4,117100.0,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,132703.0,10.7,262500.0,"Deerfield, Illinois"
28,Fannie Mae,Financials,121596.0,19.7,8000.0,"Washington, D.C."
29,Comcast,Telecommunications,121427.0,4.3,186000.0,"Philadelphia, Pennsylvania"
30,AT&T,Conglomerate,120741.0,28.5,160700.0,"Dallas, Texas"
31,Meta Platforms,Technology,116609.0,1.1,86482.0,"Menlo Park, California"
32,Bank of America,Financials,115053.0,22.6,216823.0,"Charlotte, North Carolina"
33,Target Corporation,Retail,109120.0,2.9,440000.0,"Minneapolis, Minnesota"
34,Dell Technologies,Technology,102301.0,4.4,133000.0,"Round Rock, Texas"
35,Archer Daniels Midland,Food industry,101556.0,19.1,41181.0,"Chicago, Illinois"
36,Citigroup,Financials,101078.0,26.6,238104.0,"New York City, New York"
37,United Parcel Service,Transportation,100338.0,3.1,404700.0,"Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,100330.0,23.4,83000.0,"New York City, New York"
39,Lowe's,Retail,97059.0,0.8,244500.0,"Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,94943.0,1.2,152700.0,"New Brunswick, New Jersey"
41,FedEx,Transportation,93512.0,11.4,518249.0,"Memphis, Tennessee"
42,Humana,Health Insurance,92870.0,11.8,67100.0,"Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,89876.0,33.3,12565.0,"Dallas, Texas"
44,State Farm,Financials,89328.0,8.6,60519.0,"Bloomington, Illinois"
45,Freddie Mac,Financials,86717.0,31.6,7819.0,"McLean, Virginia"
46,PepsiCo,Beverage,86859.0,8.7,315000.0,"Purchase, New York"
47,Wells Fargo,Financials,82859.0,0.5,238000.0,"San Francisco, California"
48,The Walt Disney Company,Media,82722.0,22.7,195800.0,"Burbank, California"
49,ConocoPhillips,Petroleum industry,82156.0,69.9,9500.0,"Houston, Texas"
50,Tesla,Automotive and Energy,81462.0,51.4,127855.0,"Austin, Texas"
51,Procter & Gamble,Consumer products Manufacturing,80187.0,5.3,106000.0,"Cincinnati, Ohio"
52,United States Postal Service,Logistics,78620.0,2.0,576000.0,"Washington, D.C."
53,Albertsons,Retail,77650.0,8.0,198650.0,"Boise, Idaho"
54,General Electric,Conglomerate,76555.0,3.2,172000.0,"Boston, Massachusetts"
55,MetLife,Financials,69898.0,1.7,45000.0,"New York City, New York"
56,Goldman Sachs,Financials,68711.0,5.7,48500.0,"New York City, New York"
57,Sysco,Food Service,68636.0,33.8,70510.0,"Houston, Texas"
58,Bunge Limited,Food industry,67232.0,13.7,23000.0,"White Plains, New York"
59,RTX Corporation,Conglomerate,67074.0,4.2,182000.0,"Arlington County, Virginia"
60,Boeing,Aerospace and defense,66608.0,6.9,156000.0,"Chicago, Illinois"
61,StoneX Group,Financials,66036.0,55.3,305.0,"New York City, New York"
62,Lockheed Martin,Aerospace and Defense,65984.0,1.6,116000.0,"Bethesda, Maryland"
63,Morgan Stanley,Financials,65936.0,7.9,82427.0,"New York City, New York"
64,Intel,Technology,63054.0,20.1,131900.0,"Santa Clara, California"
65,HP,Technology,62983.0,0.8,58000.0,"Palo Alto, California"
66,TD Synnex,Infotech,62344.0,97.2,28500.0,"Clearwater, Florida"
67,IBM,Technology,60530.0,16.3,303100.0,"Armonk, New York"
68,HCA Healthcare,Healthcare,60233.0,2.5,250500.0,"Nashville, Tennessee"
69,Prudential Financial,Financials,60050.0,15.3,39583.0,"Newark, New Jersey"
70,Caterpillar,Machinery,59427.0,16.6,109100.0,"Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,59283.0,15.8,68000.0,"Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and Logistics,59043.0,88.4,5214.0,"Miami, Florida"
73,New York Life Insurance Company,Insurance,58445.0,14.2,15050.0,"New York City, New York"
74,Enterprise Products,Petroleum industry,58186.0,42.6,7300.0,"Houston, Texas"
75,AbbVie,Pharmaceutical industry,58054.0,3.3,50000.0,"Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,57342.0,36.3,4100.0,"Houston, Texas"
77,Dow Chemical Company,Chemical industry,56902.0,3.5,37800.0,"Midland, Michigan"
78,AIG,Insurance,56437.0,8.4,26200.0,"New York City, New York"
79,American Express,Financial,55625.0,27.3,77300.0,"New York City, New York"
80,Publix,Retail,54942.0,13.5,242000.0,"Lakeland, Florida"
81,Charter Communications,Telecommunications,54022.0,4.5,101700.0,"Stamford, Connecticut"
82,Tyson Foods,Food Processing,53282.0,13.2,142000.0,"Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,52577.0,19.4,82239.0,"Moline, Illinois"
84,Cisco,Telecom Hardware Manufacturing,51557.0,3.5,83300.0,"San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,51450.0,8.6,24791.0,"Columbus, Ohio"
86,Allstate,Insurance,51412.0,3.4,54250.0,"Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,50582.0,69.2,95000.0,"Atlanta, Georgia"
88,Liberty Mutual,Insurance,49956.0,3.6,50000.0,"Boston, Massachusetts"
89,TJX,Retail,49936.0,2.9,329000.0,"Framingham, Massachusetts"
90,Progressive Corporation,Insurance,49611.0,4.0,55063.0,"Mayfield Village, Ohio"
91,American Airlines,Airline,48971.0,63.9,129700.0,"Fort Worth, Texas"
92,CHS,Agriculture cooperative,47194.0,24.3,10014.0,"Inver Grove Heights, Minnesota"
93,Performance Food Group,Food Processing,47194.0,61.6,34825.0,"Richmond, Virginia"
94,PBF Energy,Petroleum industry,46830.0,71.8,3616.0,"Parsippany–Troy Hills, New Jersey"
95,Nike,Apparel,46710.0,4.9,79100.0,"Beaverton, Oregon"
96,Best Buy,Retail,46298.0,10.6,71100.0,"Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,46159.0,0.5,34300.0,"New York City, New York"
98,United Airlines,Airline,44955.0,82.5,92795.0,"Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,44915.0,14.5,130000.0,"Waltham, Massachusetts"
100,Qualcomm,Technology,44200.0,31.7,51000.0,"San Diego, California"
